,title,category,author_name,dates,num comments,num views,PER,LOC,ORG,MISC,group_PER,group_ORG,group_MISC,group_title_a,final_group
534,TWICE smash own record in album sales with 'With YOU-th',News,Sofia-Sayson,02/24/2024,10,"10,048",,,TWICE,,,TWICE,,TWICE,TWICE
535,BLACKPINK's ROSÉ becomes the First Artist to earn over $550 million in EMV for brands in the past two years,News,Pop-Superstars,02/24/2024,61,"16,439",##É,,"BL, R",,,,,BLACKPINK,BLACKPINK
536,NCT WISH welcomes you to their Cupid Scouting Society in the latest teaser for their debut digital album,Teaser,Sophie-Ha,02/23/2024,1,"1,755",,,"NCT WISH, Cupid Scouting Society",,,NCT Wish,,NCT,NCT Wish
537,Seventeen's Seungkwan reveals pre-listening teaser for 'Dandelion',Teaser,Germaine-Jay,02/23/2024,4,"2,407",Seungkwan,,Seventeen,Dandelion,,SEVENTEEN,,,SEVENTEEN
538,NCT's Taeyong steps out in 'TAP' MV teaser,Teaser,Germaine-Jay,02/23/2024,1,"1,725",Taeyong,,NCT,,,NCT,,NCT,NCT
539,UP10TION's Lee Hwan Hee opens personal YouTube channel,Misc,Germaine-Jay,02/23/2024,0,"1,466",Lee Hwan Hee,,,,,,,UP,UP
540,The Crown Prince Has Disappeared' starring EXO's Suho delays premiere,News,Germaine-Jay,02/23/2024,5,"4,772","EXO, Suho",,,The Crown Prince Has Disappeared,EXO,,,,EXO
541,GOT7's Yugyeom tops iTunes charts worldwide with solo album 'Trust Me',News,Sofia-Sayson,02/23/2024,0,"4,750",Yugyeom,,GOT7,"iTunes, Trust Me",,GOT7,,GOT7,GOT7
542,Lay Zhang and Lauv team up for new single 'Run Back To You',News,Sofia-Sayson,02/23/2024,4,"4,626","Lay Zhang, Lauv",,,Run Back To You,LUV,,,,LUV
543,TWS win #1 + Performances from February 23rd 'Music Bank'!,News,Germaine-Jay,02/23/2024,9,"3,212",,,Music,Bank,,,,TWS,TWS
544,Big Bang's Daesung confirmed to make a comeback in March & Kim Seon Ho and Moon Ga Young starring in his MV,News,Germaine-Jay,02/23/2024,4,"4,037","Daesung, Kim Seon Ho, Moon Ga Young",,Big Bang,,,BIGBANG,,,BIGBANG
545,ASTRO reveal special behind-the-scenes MV for 'Circles',Music Video,Germaine-Jay,02/23/2024,4,"3,231",,,ASTRO,Circles,,ASTRO,Circle,ASTRO,ASTRO
546,Cube Entertainment's upcoming new boy group NOWADAYS launches promo campaign around Seoul,News,Susan-Han,02/23/2024,12,"3,433",,Seoul,"Cube Entertainment, NOWADAYS",,,NOWADAYS,,,NOWADAYS
547,"Watch 'Music Bank' Live feat. LE SSERAFIM, YUGYEOM, TWS & more!",Live,Germaine-Jay,02/23/2024,0,"1,277","LE SSERAFIM, YUGYEOM, TWS",,,Music Bank ' Live,LE SSERAFIM,,,,LE SSERAFIM
548,Super Junior's Siwon expresses disappointment over the poor camera work and transitions during 'SMTOWN LIVE 2024 SMCU PALACE @TOKYO',News,Susan-Han,02/23/2024,11,"10,953",Siwon,,Super Junior,##TOWN LIVE 2024 SMCU PALACE @ TOKYO,,SUPER JUNIOR,,,SUPER JUNIOR
549,Pledis Entertainment confirms Seventeen members S.Coups & Jeonghan will return to group activities in March,News,Susan-Han,02/23/2024,15,"11,664","S. Coups, Je, ##onghan",,"Pledis Entertainment, Seventeen",,,SEVENTEEN,,,SEVENTEEN
550,TWICE celebrate their bond and friendship in 'One Spark' MV,Music Video,Susan-Han,02/23/2024,15,"5,505",,,"T, ##IC",One Spark,,,,TWICE,TWICE
551,LE SSERAFIM release the English version of 'EASY',Music Video,Susan-Han,02/23/2024,3,"3,112",,,,English,,,,LE SSERAFIM,LE SSERAFIM
552,WM Entertainment family project album 'HELLO! WM_V' counts down to its release with new teasers of ONF's Hyojin,News,Susan-Han,02/23/2024,0,"1,435",,,"WM Entertainment, ONF","##ELLO! WM _ V, Hyojin",,ONF,,,ONF
553,ENHYPEN to release a special remake single 'What Makes You Beautiful' for 'The Seasons - Lee Hyori's Red Carpet',News,Susan-Han,02/23/2024,1,"2,993",,,,"What Makes You Beautiful, The Seasons - Lee Hyori ' s Red Carpet",,,,ENHYPEN,ENHYPEN
554,What Korean netizens are saying about LE SSERAFIM's heavy referencing in their album 'EASY',News,Sophie-Ha,02/23/2024,27,"24,071",,,LE SSERAFIM,"Korean, EASY",,LE SSERAFIM,,,LE SSERAFIM
555,BLACKPINK's YouTube Channel is the first artist channel globally to hit 93 Million Subscribers,News,Real-Kpop-News,02/23/2024,31,"4,862",,,"BL, ##INK, YouTube Channel",Million Subscribers,,,,BLACKPINK,BLACKPINK
556,TEMPEST releases additional teaser photos for their comeback with 'TEMPEST Voyage',News,Sophie-Ha,02/23/2024,0,"1,569",,,TEMPEST,TEMPEST Voyage,,TEMPEST,,TEMPEST,TEMPEST
557,K-netizens express unease over Fendi artistic director's hand placement on IVE's Yujin,News,Sophie-Ha,02/23/2024,164,"37,910",Fendi,,IVE,Yujin,,IVE,,,IVE
558,ASTRO to release a special digital single 'Circles' for their 8th anniversary,News,Sophie-Ha,02/22/2024,5,"6,656",,,ASTRO,Circles,,ASTRO,Circle,ASTRO,ASTRO
559,iKON's Bobby rolls out intriguing mood teaser photos for his 3rd full album 'Sir. Robert',News,Sophie-Ha,02/22/2024,2,"2,048",Bobby,,iKON,Sir. Robert,,iKON,,,iKON
560,Virtual group PLAVE reveal 'ASTERUM : 134-1' mini album highlight medley,Teaser,Germaine-Jay,02/22/2024,0,"1,375",,,PLAVE,,,PLAVE,,,PLAVE
561,NCT's Taeyong takes Japan trip in 'TAP' MV teaser images,News,Germaine-Jay,02/22/2024,2,"1,894",Taeyong,Japan,,,,,,NCT,NCT
562,Girls' Generation's Sooyoung & Jung Kyung Ho spotted on a date at Sydney zoo,News,Germaine-Jay,02/22/2024,18,"41,655","Sooyoung, Jung Kyung Ho",Sydney,Girls ' Generation,,,Girls' Generation,,,Girls' Generation
563,NMIXX get in pajamas for 'DASH' 2nd anniversary special dance practice,Misc,Germaine-Jay,02/22/2024,3,"1,931",,,"NM, DA",,,,,NMIXX,NMIXX
564,You Were Beautiful' becomes DAY6's 1st song to hit 100 million streams on Spotify,News,Sofia-Sayson,02/22/2024,5,"1,988",,,DAY6,"You Were Beautiful, Spotify",,DAY6,,,DAY6
565,n.SSign's 'Happy &' debuts at #1 on this week's Circle album chart,News,Sofia-Sayson,02/22/2024,2,"1,640",,,Circle,Happy &,,Circle,,,n.SSign
566,Former April's Lee Naeun to star in upcoming drama 'Crash',News,Germaine-Jay,02/22/2024,20,"2,972",Lee Naeun,,April,Crash,,APRIL,,,APRIL
567,"IVE's Leeseo sings 'MAY LILY' for 'Unnie, I'm the Queen in this Life' OST",Music Video,Germaine-Jay,02/22/2024,2,"2,692",Leeseo,,,"Unnie, I ' m the Queen in this Life",,,Unnies,IVE,IVE
568,LE SSERAFIM's comeback album 'EASY' tops iTunes charts worldwide,News,Sofia-Sayson,02/22/2024,9,"3,135",,,,"EASY, iTunes",,,,LE SSERAFIM,LE SSERAFIM
569,LE SSERAFIM's 'EASY' album once again receives criticism for 'heavy referencing',News,Susan-Han,02/22/2024,59,"28,840",,,LE SSERAFIM,EASY,,LE SSERAFIM,,LE SSERAFIM,LE SSERAFIM
570,tripleS expected to release the group's first 24-member album in May,News,Susan-Han,02/22/2024,15,"3,676",,,tripleS,,,Triple7,,,tripleS
571,LE SSERAFIM members looks back on their accomplishments in 2023 for 'Super ELLE',News,Susan-Han,02/22/2024,2,"3,270",,,,Super ELLE,,,,LE SSERAFIM,LE SSERAFIM
572,BTS's Jungkook breaks another record as 'Standing Next to You' becomes the fastest K-pop solo song to reach 400 million streams on Spotify,News,Sophie-Ha,02/22/2024,19,"7,942",Jungkook,,BTS,"Standing Next to You, Spotify",,BTS,,BTS,BTS
573,Fans are loving NewJeans' Hanni's adorable pigtails,News,Sophie-Ha,02/22/2024,19,"9,051",Hanni,,NewJeans,,,NewJeans,,,NewJeans
